,pwr,vcc,icq
747,9,1000,14437
748,8,1000,14436
749,26,5000,22636
750,25,5000,20587
751,24,5000,18538
752,23,5000,18538
753,22,4900,18537
754,21,4500,18537
755,20,3700,18537
756,19,3200,18537
757,18,2600,18537
758,17,2500,18537
759,16,2300,18535
760,15,2500,18535
761,14,2300,18535
762,13,1800,16486
763,12,1300,16486
764,11,1300,16486
765,10,1000,14437
766,9,1000,14437
767,8,1000,14436
768,26,5000,22636
769,25,5000,20587
770,24,5000,18538
771,23,5000,18538
772,22,4900,18537
773,21,4500,18537
774,20,3700,18537
775,19,3200,18537
776,18,2600,18537
777,17,2500,18537
778,16,2300,18535
779,15,2500,18535
780,14,2300,18535
781,13,1800,16486
782,12,1300,16486
783,11,1300,16486
784,10,1000,14437
785,9,1000,14437
786,8,1000,14436
787,26,5000,22636
788,25,5000,20587
789,24,5000,18538
790,23,5000,18538
791,22,4900,18537
792,21,4500,18537
793,20,3700,18537
794,19,3200,18537
795,18,2600,18537
796,17,2500,18537
797,16,2300,18535
798,15,2500,18535
799,14,2300,18535
800,13,1800,16486
801,12,1300,16486
802,11,1300,16486
803,10,1000,14437
804,9,1000,14437
805,8,1000,14436
806,26,5000,22636
807,25,5000,20587
808,24,5000,18538
809,23,5000,18538
810,22,4900,18537
811,21,4500,18537
812,20,3700,18537
813,19,3200,18537
814,18,2600,18537
815,17,2500,18537
816,16,2300,18535
817,15,2500,18535
818,14,2300,18535
819,13,1800,16486
820,12,1300,16486
821,11,1300,16486
822,10,1000,14437
823,9,1000,14437
824,8,1000,14436
825,26,4800,22636
826,25,4500,20587
827,24,3800,18538
828,23,3600,18538
829,22,3400,18537
830,21,3200,18537
831,20,3000,18537
832,19,2800,18537
833,18,2600,18537
834,17,2500,18537
835,16,2300,18535
836,15,2500,18535
837,14,2300,18535
838,13,1800,16486
839,12,1300,16486
840,11,1300,16486
841,10,1000,14437
842,9,1000,14437
843,8,1000,14436
844,26,4800,22636
845,25,4500,20587
846,24,3800,18538
847,23,3600,18538
848,22,3400,18537
849,21,3200,18537
850,20,3000,18537
851,19,2800,18537
852,18,2600,18537
853,17,2500,18537
854,16,2300,18535
855,15,2500,18535
856,14,2300,18535
857,13,1800,16486
858,12,1300,16486
859,11,1300,16486
860,10,1000,14437
861,9,1000,14437
862,8,1000,14436
863,26,4800,22636
864,25,4500,20587
865,24,3800,18538
866,23,3600,18538
867,22,3400,18537
868,21,3200,18537
869,20,3000,18537
870,19,2800,18537
871,18,2600,18537
872,17,2500,18537
873,16,2300,18535
874,15,2500,18535
875,14,2300,18535
876,13,1800,16486
877,12,1300,16486
878,11,1300,16486
879,10,1000,14437
880,9,1000,14437
881,8,1000,14436
882,26,4800,22636
883,25,4500,20587
884,24,3800,18538
885,23,3600,18538
886,22,3400,18537
887,21,3200,18537
888,20,3000,18537
889,19,2800,18537
890,18,2600,18537
891,17,2500,18537
892,16,2300,18535
893,15,2500,18535
894,14,2300,18535
895,13,1800,16486
896,12,1300,16486
897,11,1300,16486
898,10,1000,14437
899,9,1000,14437
900,8,1000,14436
901,26,4800,22636
902,25,4500,20587
903,24,3800,18538
904,23,3600,18538
905,22,3400,18537
906,21,3200,18537
907,20,3000,18537
908,19,2800,18537
909,18,2600,18537
910,17,2500,18537
911,16,2300,18535
912,15,2500,18535
913,14,2300,18535
914,13,1800,16486
915,12,1300,16486
916,11,1300,16486
917,10,1000,14437
918,9,1000,14437
919,8,1000,14436
920,26,4800,22636
921,25,4500,20587
922,24,3800,18538
923,23,3600,18538
924,22,3400,18537
925,21,3200,18537
926,20,3000,18537
927,19,2800,18537
928,18,2600,18537
929,17,2500,18537
930,16,2300,18535
931,15,2500,18535
932,14,2300,18535
933,13,1800,16486
934,12,1300,16486
935,11,1300,16486
936,10,1000,14437
937,9,1000,14437
938,8,1000,14436
939,26,4800,22636
940,25,4500,20587
941,24,3800,18538
942,23,3600,18538
943,22,3400,18537
944,21,3200,18537
945,20,3000,18537
946,19,2800,18537
947,18,2600,18537
948,17,2500,18537
949,16,2300,18535
950,15,2500,18535
951,14,2300,18535
952,13,1800,16486
953,12,1300,16486
954,11,1300,16486
955,10,1000,14437
956,9,1000,14437
957,8,1000,14436
958,26,4800,22636
959,25,4500,20587
960,24,3800,18538
961,23,3600,18538
962,22,3400,18537
963,21,3200,18537
964,20,3000,18537
965,19,2800,18537
966,18,2600,18537
967,17,2500,18537
968,16,2300,18535
969,15,2500,18535
970,14,2300,18535
971,13,1800,16486
972,12,1300,16486
973,11,1300,16486
974,10,1000,14437
975,9,1000,14437
976,8,1000,14436
977,26,4800,22636
978,25,4500,20587
979,24,3800,18538
980,23,3600,18538
981,22,3400,18537
982,21,3200,18537
983,20,3000,18537
984,19,2800,18537
985,18,2600,18537
986,17,2500,18537
987,16,2300,18535
988,15,2500,18535
989,14,2300,18535
990,13,1800,16486
